швейник|Работник швейной промышленности  
шахматист|Спортсмен, занимающийся шахматами; игрок в шахматы  
шахматистка|Спортсменка, занимающаяся шахматами; игрок в шахматы  
шахматистский|Относящийся к шахматистам, к игре в шахматы  
шахматы|Игра белыми и черными фигурами и пешками на доске в 64 клетки, в которой каждый из двух партнеров стремится объявить мат королю соперника, а также соответствующий вид спорта  
шахматы|Фигуры и пешки для такой игры  
шахматный|Относящийся к шахматам  
шахматный порядок|Расположение рядов одноцветных квадратов, по диагонали пересекающих шахматную доску  
шахта|Вертикальная или наклонная горная выработка, имеющая непосредственный выход на поверхность, ствол  
шахта|Горнопромышленное предприятие, ведущее подземную добычу полезного ископаемого; место добычи его  
шахта|Вертикальная удлиненная полость в некоторых установках, конструкциях  
шахта|Глубокая вертикальная пещера, подземная полость  
шевелить|Трогая, ворошить, переворачивать  
шевелить|Слегка сдвигать  
шевелить|Беззвучно двигать губами  
шевелить|Шевелить мозгами – соображать, думать хорошенько  
пошевелить|Совершаемое действие: слегка сдвинуть  
шевельнуть|Однократное действие: слегка сдвинуть  
шевеление|Действие по значению глагола шевелить  
шевелиться|Слегка двигаться  
шевелиться|Проявляться, пробуждаться  
шевелиться|То же, что пошевеливаться  
пошевелиться|Совершаемое действие: слегка двинуться  
шевельнуться|Однократное действие: слегка двинуться  
шевеление|Действие по значению глагола шевелиться  
шевелюра|Пышные и густые волосы на голове  
шевиот|Мягкая, слегка ворсистая шерстяная или из смешанной пряжи ткань для верхней одежды  
шевиотовый|Относящийся к шевиоту  
шевро|Сорт мягкой хромовой козьей кожи  
шевровый|Относящийся к шевро  
шеврон|Нашивка из галуна, шнура или тесьмы на форменной одежде (обычно на рукаве, в виде угла)  
шевронный|Относящийся к шеврону  
шедевр|Исключительное по своим достоинствам произведение искусства, образцовое создание мастера  
шезлонг|Легкое раздвижное кресло с длинной натягивающейся матерчатой спинкой для сидения полулежа  
шезлонговый|Относящийся к шезлонгу  
шейк|Эксцентрический парный танец  
шейка|Узкая часть чего–нибудь  
шейка|У речных раков: брюшко  
шеечный|Относящийся к шейке  
шейный|Относящийся к шее  
шейх|В арабских странах: глава рода, старейшина общины  
шейх|В исламе: почетное звание представителя высшего духовенства, а также лицо, носящее это звание  
шелест|Звук, производимый слабым трением, касанием  
шелестеть|Издавать шелест  
шелестение|Действие по значению глагола шелестеть  
шелковина|Шелковое волокно, нить  
шелковинный|Относящийся к шелковине  
шелковинка|Нитка, ворсинка шелка  
шелковистый|Похожий на шелк, гладкий, мягкий  
шелковистость|Свойство по значению прилагательного шелковистый  
шелковица|То же, что тутовое дерево  
шелковичный|Относящийся к шелковице  
шелковичный|Относящийся к получению шелка из коконов тутового шелкопряда  
шелковод|Специалист по шелководству  
шелководство|Разведение шелкопряда как отрасль сельского хозяйства  
шелководный|Относящийся к шелководству  
шелководческий|Относящийся к шелководству  
шелкопряд|Бабочка, гусеница которой вьет коконы, идущие на изготовление шелка  
шелкопряд|Бабочка, гусеница которой является вредителем леса  
шелкотканый|Вытканный шелком  
шелом|То же, что шлем
