квакша|Древесная лягушка  
квелость|Свойство быть квёлым  
квинта|В музыке: пятая ступень гаммы, а также интервал, охватывающий пять ступеней звукоряда  
квинта|Самая высокая по тону струна некоторых струнных инструментов  
квинтет|Музыкальное произведение для пяти исполнителей с самостоятельными партиями для каждого  
квинтет|Ансамбль из пяти исполнителей  
квинтетный|Относящийся к квинтету  
квинтэссенция|Основа, самая сущность чего–нибудь  
квит|В расчете, вполне рассчитался  
квитанция|Официальная расписка в принятии денег или вещей, ценностей  
квитанционный|Относящийся к квитанции  
квитанционная|Относящаяся к квитанции  
квиток|Талон, квитанция  
кворум|Число участников собрания, заседания, достаточное для признания его правомочности  
квота|Доля, норма чего–нибудь допускаемого в системе налогов, производства, сбыта, въезда в страну  
квотный|Относящийся к квоте  
квохтать|То же, что клохтать  
квохтанье|Процесс квохтанья  
кегли|Точеные столбики, которые ставятся в ряд и с известного расстояния сбиваются катящимся шаром, а также сама такая игра  
кегельный|Относящийся к игре в кегли  
кедр|Вечнозеленое хвойное дерево семейства сосновых  
кедровый|Относящийся к кедру  
кедровая сосна|Вид хвойного дерева, дающего в шишках съедобные семена — орехи  
кедровые орехи|Семена такого дерева  
кедровое масло|Масло из таких орехов  
кедрач|То же, что кедровник  
кедровка|Лесная птица семейства вороновых  
кедровник|Кустарник или небольшое дерево семейства сосновых  
кедровник|Лес из кедровых деревьев  
кеды|Спортивные матерчатые ботинки на ребристой резиновой подошве  
кедовый|Относящийся к кедам  
кекс|Сдобное сладкое мучное изделие в виде хлеба  
келейный|Тайный, секретный, совершаемый узким кругом лиц  
келейность|Свойство быть келейным  
кельнер|В некоторых странах: официант, слуга в отеле  
кельнерша|Женщина–официант в отеле  
кельнерский|Относящийся к кельнеру  
кельтский|Относящийся к кельтам, к их языкам, образу жизни, культуре, а также к местам их проживания, их внутреннему устройству, истории  
кельт|Человек из группы древних племен, обитавших в Западной Европе  
кельты|Группа древних племен, обитавших в Западной Европе  
келья|Отдельная комната монаха, монахини в монастыре  
келья|Уединенное и скромное жилище, комната  
келейка|Небольшая келья
