обмылок|Остаток от куска мыла
обношенный|Изношенный, поношенный
обнаживший|Сделавший открытым
обнажившийся|Ставший открытым
обнашиваться|Изнашиваться, становиться ветхим
обнажение|Освобождение от покровов, раскрытие чего–нибудь
обнаженность|Состояние обнажённого, открытого
обнажённость|Состояние обнажённого, открытого
обнажение|Освобождение от покровов, раскрытие чего–нибудь
обнаженность|Состояние обнажённого, открытого
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнашиваться|Изнашиваться, становиться ветхим
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнашиваться|Изнашиваться, становиться ветхим
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнашиваться|Изнашиваться, становиться ветхим
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнашиваться|Изнашиваться, становиться ветхим
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнажённость|Состояние обнажённого, открытого
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнашиваться|Изнашиваться, становиться ветхим
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнашиваться|Изнашиваться, становиться ветхим
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнажённость|Состояние обнажённого, открытого
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнашиваться|Изнашиваться, становиться ветхим
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнажать|Освобождать от покровов, делать открытым
обнажаться|Освобождаться от покровов, становиться открытым, явным
обнажённость|Состояние обнажённого, открытого
обнашивать|Изнашивать что–нибудь, носить до ветхости
обнашиваться|Изнашиваться, становиться ветхим
обнабжать|Освобождать от покровов, делать открытым
обнабжаться|Освобождаться от покровов, становиться открытым, явным
обнабжённость|Состояние обнажённого, открытого
обнести|Огородить, окружить
обнести|Пронести вокруг кого–чего–нибудь
обнести|Подходя к каждому, предложить угощение
обнести|Пропустить, обойти кого–нибудь, поочередно подходя ко всем с угощением
обносить|Огородить, окружать
обнимка|Обнявшись, в состоянии обнятости
обнищавший|Впавший в нищету
обнищалость|Состояние крайней бедности
обнова|То же, что обновка; новая вещь, недавно приобретенная
обновить|Заменить устаревшее, пополнить чем–нибудь новым
обновить|Сделать новее, совершеннее, возродить, придать новый вид
обновить|Впервые употребить, использовать какую–нибудь новую вещь
обновлять|Заменять, пополнять чем–нибудь новым, делать новее, совершеннее
обновление|Действие по обновлению, результат обновления
обновиться|Стать новым, обновленным, пополниться чем–нибудь новым
обновляться|Становиться новым, обновленным, пополняться чем–нибудь новым
обновка|Недавно приобретенная, новая вещь, обычно об одежде
обновлённый|Получивший новый, прежний вид, новые или прежние силы, как бы возродившийся
обносить|Поносив новую одежду, обувь, сделать привычной, удобной
обнашивать|Изнашивать что–нибудь, приводя к ветхости
обноситься|Износить свою одежду
обноситься|После носки стать привычным, удобным
обноситься|Обветшать от носки
обнашиваться|Становиться изношенным, ветхим
обноски|Поношенная, потрепанная одежда, обувь
обнюхать|Понюхать со всех сторон
обнюхивать|Понюхивать со всех сторон
обнять|Заключить в объятия, обхватить руками, выражая радость, ласку
обнять|Охватить в полном объеме, постигнуть, понять
обнимать|Заключать в объятия, выражать радость, ласку, охватывать, постигать
обняться|Обнять друг друга
обниматься|Обнимать друг друга, быть в состоянии обнятости
обо|Употребляется вместо "о", "об" перед некоторыми сочетаниями согласных, например: обо мне, обо что, обо всем
обо...|Приставка, то же что об..., употребляется вместо "об" перед "и" и некоторыми сочетаниями согласных, например: обойти, оболью, оборву, обозлить, а также в отдельных формах: обошедший, обошёл
обобрать|Собрать, снять с чего–нибудь
обобрать|Отнять всё, что есть, ограбить, разорить
обирать|Снимать, собирать что–нибудь, отнимать всё, что есть, ограблять
обобраться|Очень много кого–нибудь, чего–нибудь, не перечесть
обобщение|Общий вывод
обобществить|Слить отдельные хозяйственные объекты в одно целое
обобществлять|Объединять отдельные хозяйственные объекты в одно целое
обобществление|Слияние хозяйственных объектов в одно целое, превращение процесса труда из индивидуального в общественный
обобщённый|Представляющий собой обобщение
обобщённость|Состояние обобщённого, общий характер, свойство
обобщить|Сделав вывод, выразить основные результаты в общем положении, придать общее значение чему–нибудь
обобщать|Делать вывод, подводить к общему значению
обовшиветь|Стать вшивым
обогатитель|Специалист по обогащению полезных ископаемых
обогатитель|Вещество, состав, способствующие повышению полезных качеств чего–нибудь
обогатительский|Связанный с обогащением полезных ископаемых
обогатить|Сделать богатым, богаче
обогатить|Удаляя пустую породу или внося какие–нибудь вещества, повышая содержание чего–нибудь, увеличить ценность, полезность чего–нибудь
обогащать|Делать богатым, увеличивать ценность, полезность
обогащение|Процесс повышения ценности, пользы, улучшения качества чего–нибудь
обогатительный|Связанный с обогащением полезных ископаемых
обогатиться|Стать богатым, богаче
обогатиться|Стать обогащённым, увеличить свою ценность, полезность
обогащаться|Становиться богатым или увеличивать свою ценность, полезность
обогнать|Оказаться впереди в движении, беге
обогнать|Достичь больших по сравнению с кем–нибудь успехов, результатов
обгонять|Оказываться впереди в движении, достигать большего успеха, результата
обгон|Процесс опережения в движении, соревновании
обгонный|Связанный с опережением в движении, соревновании
обогнуть|Согнув, надеть, поместить по окружности чего–нибудь
обогнуть|Двигаясь вокруг или около кого–чего–нибудь, обойти, объехать
огибать|Двигаться вокруг, обходить, объезжать что–нибудь
обоготворять|То же, что боготворить
обоготворение|Действие по значению боготворения
обогреть|Согреть, сделать теплым, наполнить теплом
обогреть|Приласкать и успокоить
обогревать|Согревать, делать теплым, наполнять теплом
обогрев|Действие по значению согревать, делать теплым, наполнять теплом
обогревание|Процесс согревания, наполнения теплом
обогревательный|Предназначенный для обогрева
обогреться|Согреться, сделаться теплым, наполниться теплом
обогреться|Успокоиться от чьих–нибудь ласки, доброго отношения
обогреваться|Согреваться, делаться теплым, наполняться теплом
