паскудный|Мерзкий, гадкий
пассив|Часть бухгалтерского баланса предприятия, отражающая источники образования его средств и их назначение
пассивный|Не проявляющий активности, безучастный, вялый
пассивный|Зависимый, лишенный самостоятельности
пассивный|О внешней торговле: такой, при котором ввоз превышает вывоз
пассивность|Свойство быть безучастным, вялым, зависимым, лишенным самостоятельности
пассия|Предмет любви, страсти
паста|Однородная смесь в виде тестообразной массы
пастбище|Место, где пасется скот, кормятся животные
пастбищный|Относящийся к пастбищу
паства|То же, что прихожане
пастель|Мягкие приглушенного тона цветные карандаши без оправы
пастель|Рисунок, выполненный пастелью
пастельный|Неяркий, мягкий цвет, тон
пастелевый|Неяркий, мягкий цвет, тон
пастеризовать|Обработать пищевые продукты нагреванием или гамма-излучением при консервировании для уничтожения микробов
пастеризация|Процесс обработки пищевых продуктов нагреванием или гамма-излучением для уничтожения микробов
пастернак|Корнеплод семейства зонтичных с желтыми цветками, употребляемый как пряность
пасти|Следить за пасущимся скотом, домашними животными
пастьба|Действие по наблюдению за скотом
пастила|Кондитерское изделие из фруктовой массы и сахара, обычно с добавлением яичных белков
пастильный|Относящийся к пастиле
пастись|О животных, стаде: быть на подножном корму, передвигаясь, отыскивать, добывать корм
пастозный|О теле: бледный и одутловатый, неэластичный
пастозность|Бледность и одутловатость тела, неэластичность
пастообразный|Имеющий вид пасты
пастообразность|Свойство быть похожим на пасту
пастор|Протестантский священник
пасторский|Относящийся к пастору
пастораль|В европейском искусстве: литературное или музыкальное произведение, изображающее жизнь пастухов и пастушек на лоне природы
пасторальный|Относящийся к пасторали
пастух|Работник, пасущий скот
пастушок|Маленький пастух
пастушка|Женщина, пасущая скот
пастушеский|Относящийся к пастуху или пастушеству
пастуший|Относящийся к пастуху или пастушеству
пастырь|То же, что пастух
пастырь|Священник как наставник паствы
пастырский|Относящийся к пастырю
пасть|Погибнуть, быть убитым
пасть|Быть побежденным, прекратить сопротивление
пасть|Уронить себя в глазах окружающих, утратить доброе имя из-за предосудительного поведения
испытать падение|Потерять достоинство, доброе имя
падение|Действие по утере достоинства, положения
пасть|Зев, рот зверя, рыбы
пасха|В иудаизме: весенний праздник в память исхода из Египта иудеев
пасха|У христиан: весенний праздник, связанный с верой в воскресение Иисуса Христа, отмечаемый после весеннего равноденствия и полнолуния
пасха|Сладкое творожное кушанье к христианскому празднику Пасхи
пасхальный|Относящийся к иудейской или христианской пасхе
пасочный|Относящийся к сладкому творожному кушанью к Пасхе
пасынок|Сын одного из супругов по отношению к другому, для него неродному
пасынок|Боковой побег растения
пасынок|Наращенная часть столба
пасынковый|Относящийся к пасынку
пасьянс|Особая раскладка игральных карт по определенным правилам для развлечения или гадания
пасьянсный|Относящийся к пасьянсу
пат|В шахматах: положение, при котором один из игроков не может сделать хода, не подставив под удар своего короля; безвыходное положение
патовый|Относящийся к пату, характеризующийся безвыходностью
пат|Род мармелада
патент|Документ, свидетельствующий о праве изобретателя на его изобретение, о его приоритете
патент|Свидетельство на право занятия торговлей, промыслом
патентный|Относящийся к патенту
патентовывать|Выдавать патент на что–нибудь
запатентовать|Выдать патент на что–нибудь
патер|Католический священник
патерский|Относящийся к католическому священнику
патетика|Патетический тон, патетический элемент
патетический|Страстный, взволнованный, исполненный пафоса
патетичный|То же, что патетический
патетичность|Свойство быть страстным, взволнованным, исполненным пафоса
патефон|Портативный граммофон с рупором, вмещенным внутрь коробки
патефонный|Относящийся к патефону
патиссон|Огородное растение семейства тыквенных с плоским округлым плодом, а также сам плод
патиссоновый|Относящийся к патиссону
