механичный|То же, что механический
мигренозный|Приступы боли в одной половине головы
мигрировать|Совершить миграцию
миди|Юбка, платье, пальто средней длины
миди|О юбке, платье, пальто: средней длины
мидия|Съедобный двустворчатый морской моллюск
мизансцена|Размещение актеров и сценической обстановки в разные моменты исполнения пьесы
мизансценический|Размещение актеров и сценической обстановки в разные моменты исполнения пьесы
мизантроп|Человек, склонный к мизантропии
мизантропка|Человек, склонный к мизантропии
мизантропия|Нелюбовь, ненависть к людям, отчуждение от них
мизантропический|Нелюбовь, ненависть к людям, отчуждение от них
мизерный|Весьма незначительный, ничтожный
мизерность|Весьма незначительный, ничтожный
мизинец|Пятый, самый маленький палец на руке, на ноге
mizинчик|Пятый, самый маленький палец на руке, на ноге
мизинцевый|Пятый, самый маленький палец на руке, на ноге
