добре|Ладно, хорошо, добро  
добрый день|Приветствие при встрече  
добрый вечер|Приветствие при встрече  
доброе утро|Приветствие при встрече  
люди доброй воли|Честные, прямые люди, искренне стремящиеся к миру, к благу народа  
по доброй воле|Без принуждения, по своему желанию  
чего доброго|Возможно, пожалуй (при ожидании неприятного)  
доброта|Свойство быть добрым, отзывчивым, проявлять добро  
добряк|Добрый человек  
добряческий|Относящийся к доброму человеку  
добудиться|Разбудить не сразу, с трудом  
добуживаться|Разбудить не сразу, с трудом  
добытчик|Человек, который занят добычей, добывает что–нибудь промыслом  
добытчик|Человек, который добывает, зарабатывает на жизнь  
добытчица|Женщина, которая добывает, зарабатывает на жизнь  
добытчицкий|Относящийся к лицу, добывающему или зарабатывающему на жизнь  
добыть|Достать, приобрести; получить что–нибудь промыслом  
добыть|Извлечь из недр земли  
добыча|То, что добыто, приобретено  
добычный|Относящийся к добыче  
добычной|Относящийся к горным машинам и механизмам, работающим в забое  
добычливый|Удачный (о добыче); удачливый в добыче  
добычливость|Свойство быть удачливым в добыче  
довезти|Везя, доставить до места  
довозить|Везя, доставлять до места  
доверенность|Документ, которым доверяется кому–нибудь действовать от имени доверителя  
доверенность|То же, что доверие  
доверенный|Действующий по чьей–нибудь доверенности, полномочию  
доверенный|Такой, которому доверяют, относятся доверительно  
доверие|Уверенность в чьей–нибудь добросовестности, искренности, в правильности чего–нибудь  
доверитель|Лицо, выдавшее кому–нибудь доверенность  
доверительница|Женщина, выдавшая кому–нибудь доверенность  
доверительский|Относящийся к выдаче доверенности  
доверительный|Выказывающий полное доверие кому–нибудь  
доверительный|Являющийся доверенностью  
доверительный|Секретный, не подлежащий разглашению  
доверительность|Свойство быть выказывающим полное доверие кому–нибудь  
доверить|Проявляя доверие, поручить  
доверять|Проявлять доверие, поручать  
доверить получить|Дать доверенность на получение  
доверить тайну|Открыть тайну  
довериться|Проявить доверие к кому–нибудь, положиться на кого–нибудь  
доверяться|Проявлять доверие к кому–нибудь  
довернуть|Завертывая, завинтить до конца, повернуть до предела  
довертывать|Завертывать, завинчивать до конца, поворачивать до предела  
доверху|До самого верха, до краев  
доверчивый|Легко доверяющий, питающий ко всем доверие, основанный на доверии  
доверчивость|Свойство легко доверять, питать ко всем доверие  
довершить|Довести до конца  
довершать|Доводить до конца  
довершение|Окончание, завершение, доведение до конца  
в довершение|В дополнение, в конечном результате  
доверять|Испытывать чувство доверия  
довесок|Кусок, дополняющий взвешиваемое до нужного веса  
довесочный|Относящийся к куску, дополняющему взвешиваемое до нужного веса  
довести|Ведя, доставить до какого–нибудь места  
довести|Продолжить до какого–нибудь места, предела  
довести|Привести в какое–нибудь состояние, вызвать, породить в ком–нибудь какие–нибудь последствия  
довести|Раздражить, рассердить  
довести до сведения|Уведомить, известить о чем–нибудь  
доводить|Ведя, доставлять до какого–нибудь места  
доводить|Продолжать до какого–нибудь места, предела  
доводить|Приводить в какое–нибудь состояние, вызывать какие–нибудь последствия  
довестись|То же, что привестись  
доводиться|То же, что привестись
