уточнить|Сделать точным, точнее
утюжить|Гладить утюгом
утюжить|Нажимая, прессуя, проводить чем–нибудь по поверхности
выутюжить|Гладить до гладкости утюгом
отутюжить|Гладить утюгом
утюжка|Действие по значению утюжить; помещение для глажения утюгом
утяжелить|Сделать тяжелым, тяжелее
утяжелять|Делать тяжелым, тяжелее
утяжеление|Действие по значению утяжелить
утяжелиться|Стать тяжелым, тяжелее
утяжеляться|Становиться тяжелым, тяжелее
утяжеление|Действие по значению утяжелиться
утянуть|Уволочь, утащить за собой куда–нибудь
утянуть|Затянуть, втянуть
утянуть|Туго стянуть
утянуть|Украсть, унести тайком
утягивать|Уволакивать, утаскивать
утяжка|Действие по значению утянуть, тугое стягивание
утятина|Мясо утки как пища
утятница|Работница, занимающаяся уходом за утками
утятница|Продолговатая посуда с толстыми стенками для приготовления утиной тушки
уф|Междометие, выражающее усталость, утомление или облегчение
уфолог|Специалист по уфологии
