папаха|Высокая меховая шапка
парагвайка|Латиноамериканский народ, составляющий основное население Парагвая
параграф|Подразделение текста внутри главы, раздела, обозначаемое знаком, а также сам этот знак
парад|Торжественное прохождение войск, кораблей, самолётов, а также спортсменов
парад|В цирке: торжественный выход на арену всех артистов
парад|Парадность
парад-алле|В цирке: выход на арену всех участников представления перед его началом
парадигма|Образец, тип, модель
парадигма|В грамматике: система форм изменяющегося слова, конструкции
парадигматический|Относящийся к образцу, типу, модели или к системе форм изменяющегося слова, конструкции
парадный|Торжественный, праздничный
парадный|Напыщенный
парадный|О входе: передний, главный
парадность|Торжественность, напыщенность
парадокс|Странное, расходящееся с общепринятым мнением, высказывание, а также мнение, противоречащее здравому смыслу
парадокс|Явление, кажущееся невероятным и неожиданным
парадоксальный|Странный, расходящийся с общепринятым мнением, противоречащий здравому смыслу
парадоксальный|Совершенно невероятный, удивительный
парадоксальность|Свойство быть странным, расходящимся с общепринятым мнением, невероятным
паразит|Организм, питающийся за счет другого организма и вредящий ему
паразит|Человек, который живет чужим трудом, тунеядец
паразитка|Человек, который живет чужим трудом, тунеядец
паразитный|Относящийся к организму, питающемуся за счет другого организма и вредящему ему
паразитский|Относящийся к человеку, который живет чужим трудом, тунеядец
паразитарный|Распространяемый паразитами
паразитарный|Свойственный паразитам
паразитарность|Свойство быть паразитарным, свойственный паразитам
паразитизм|Сосуществование двух организмов, при котором один организм питается за счет другого
паразитизм|Жизнь на средства, получаемые от чужого труда, тунеядство
паразитический|Относящийся к сосуществованию двух организмов, при котором один организм питается за счет другого, или к жизни за счет чужого труда
паразитировать|Жить паразитом, вести паразитарное существование
парализовать|Привести в состояние паралича
парализовать|Лишить способности или возможности действовать
паралитик|Человек, больной параличом
паралитичка|Человек, больной параличом
паралич|Утрата, расстройство двигательных функций вследствие поражения нервной системы
паралитический|Относящийся к утрате, расстройству двигательных функций вследствие поражения нервной системы
параличный|Относящийся к утрате, расстройству двигательных функций вследствие поражения нервной системы
параллелепипед|В математике: призма, основанием которой служит параллелограмм
параллелизм|Сопутствие параллельных явлений, действий, параллельность
параллелограмм|В математике: четырёхугольник, у которого стороны попарно параллельны
параллель|В математике: прямая, не пересекающая другой прямой, лежащей с ней в одной плоскости
параллель|Сравнение, а также явление, которое может быть сопоставлено с другим, сходным
параллель|Воображаемая линия пересечения земной поверхности плоскостью, параллельной плоскости экватора
параллельный|Являющийся параллелью
параллельный|Происходящий одновременно и рядом с чем–нибудь, такой же, сопутствующий
параллельность|Свойство быть параллельным, существование параллельных объектов или явлений
параметр|Величина, характеризующая какое–нибудь основное свойство машины, устройства, системы или явления, процесса
параметрический|Относящийся к величине, характеризующей основное свойство машины, устройства, системы или явления, процесса
паранджа|Широкая верхняя одежда с закрывающей лицо волосяной сеткой, без которой ислам не разрешает женщинам появляться перед посторонними
параноик|Человек, больной паранойей
паранойя|Психическая болезнь, характеризующаяся стойким бредом
параноический|Относящийся к психической болезни, характеризующейся стойким бредом
парапет|Невысокая заграждающая стенка, перила
парапетный|Относящийся к невысокой заграждающей стенке, перилам
парапсихология|Изучение научно не объяснённых явлений человеческого восприятия без участия органов чувств и физических воздействий, без посредства мышечных усилий
парапсихологический|Относящийся к изучению научно не объяснённых явлений человеческого восприятия без участия органов чувств и физических воздействий
паратиф|Инфекционная кишечная болезнь, сходная с брюшным тифом
паратифозный|Относящийся к инфекционной кишечной болезни, сходной с брюшным тифом
парафин|Похожее на воск светлое плавкое вещество, получаемое преимущественно из нефти, используемое в промышленности и медицине
парафиновый|Относящийся к веществу, похожему на воск, получаемому преимущественно из нефти, используемому в промышленности и медицине
параша|Сосуд для испражнений в тюремной камере
