сопредельный|Смежный, пограничный  
сорвать|Заставить уйти, уехать откуда–либо, покинуть что–либо  
сорвать|Потерять голос от крика, громкого пения  
сорвать|В картёжной игре: выиграть все деньги, находившиеся в банке  
срывать|Рывком отделять, снимать, сдёргивать  
срыв|Нарушение, прекращение чего–либо  
срывание|Рывком отделение, снятие  
сорваться|Оторвавшись, не удержавшись, упасть  
сорваться|Рывком отделиться, освободиться  
сорваться|Резко сместиться, соскользнуть  
сорваться|Неожиданно не удаться  
сорваться|Утратить самоконтроль, власть над своими поступками, действиями  
сорваться|О словах, звуках, о стихийном явлении: появиться сразу, невольно  
срываться|Превращаться в падение, отделяться рывком  
срыв|Оторвавшись, не удержавшись, упасть  
срывание|Рывком отделение, снятие  
сорвиголова|Отчаянный человек, удалец, а также большой озорник  
сорго|Крупный южный злак с метельчатым соцветием, употребляется в пищу, для корма и для технических нужд  
сорговый|Связанный с сорго  
соревнование|Форма деятельности, при которой участвующие стремятся превзойти друг друга  
соревноваться|Участвовать в состязании, соревновании  
соревновательный|Связанный с состязанием, соревнованием  
соринка|Маленькая частичка сора  
сорить|Бросать сор, загрязнять сором  
сорить|Тратить безрассудно что–либо в большом количестве  
сорный|Дикорастущий, заглушающий культурные посевы  
сорный|Засорённый, неочищенный  
сорный|О некоторых породах: малоценный  
сорняк|Сорное растение  
сорняковый|Связанный с сорняками  
сородич|Родственник, родич  
сородич|Человек, близкий по происхождению, национальной принадлежности, месту рождения  
сородич|Животное или растение, принадлежащее к одному роду  
сорок|Число и количество 40  
сороковой|Порядковый номер сорок  
сорок|Церковный округ, объединяющий сорок церквей  
сорок|Мешок с сорока собольими шкурками  
сорока|Птица семейства вороновых с белыми перьями в крыльях  
сорока|То же, что трещотка  
сорока|Народно-поэтическое название птицы — сорока  
сорочий|Относящийся к сороке  
сорока|Первая часть сложных слов со значением содержащий сорок единиц чего–либо  
сорокалетие|Срок в 40 лет  
сорокалетие|Годовщина события, бывшего 40 лет тому назад  
сорокалетие|Чья–либо сороковая годовщина  
сорокалетний|Существующий, просуществовавший, проживший сорок лет  
сороконожка|То же, что многоножка  
сорокоуст|Церковная служба, молитвы об умершем в течение сорока дней после смерти  
сорочий|Связанный с сорокой  
сорочка|То же, что рубашка  
сорочечный|Связанный с сорочкой  
сорт|Категория, разряд товара, продукции  
сорт|Разновидность культурных растений, обладающих одинаковыми свойствами и признаками  
сортовой|Связанный с сортом  
сортный|Категория или разряд товара, продукции  
сортамент|Номенклатура сортов выпускаемых изделий  
сортимент|Номенклатура сортов выпускаемых изделий  
сортаментный|Связанный с сорта-ментом  
сортиментный|Связанный с сортиментом
